school_id,student_id,sex,yob,died_y3,married_y3,children_y3,preg_y3,dropout_y3,visit_month_y3,trt_school,died_y5,married_y5,children_y5,preg_y5,dropout_y5,visit_month_y5
3,360035,1,.,.,.,.,.,1,9,1,.,.,.,.,1,3
3,360036,1,1989,0,0,0,0,0,9,1,0,0,0,0,0,3
3,360038,1,1990,0,0,0,0,0,9,1,0,1,1,1,0,3
3,360039,1,1990,0,0,0,0,0,9,1,0,0,0,0,0,3
3,360040,1,.,.,1,1,1,1,9,1,.,1,1,1,1,3
3,360041,1,1991,0,0,0,0,0,9,1,0,0,0,0,0,3
3,360042,1,1990,0,0,0,0,0,9,1,0,0,0,0,0,3
3,360043,1,1992,0,0,0,0,0,9,1,0,0,0,0,0,3
3,360044,1,1992,0,0,0,0,0,9,1,0,0,0,0,0,3
3,360045,1,1989,0,0,0,0,0,9,1,0,0,0,0,0,3
3,360046,1,1991,0,0,0,0,0,9,1,0,0,0,0,0,3
3,360047,1,.,0,1,1,1,1,9,1,0,1,1,1,1,3
3,360048,1,1990,0,0,0,0,0,9,1,0,0,0,0,0,3
3,360049,1,1991,0,0,0,0,0,9,1,0,0,0,0,0,3
3,360050,0,1992,0,0,.,.,0,9,1,0,0,.,.,0,3
3,360051,0,1991,0,0,.,.,0,9,1,0,0,.,.,0,3
3,360052,0,.,.,.,.,.,1,9,1,.,.,.,.,1,3
3,360053,0,.,.,.,.,.,1,9,1,.,.,.,.,1,3
3,360054,0,1989,0,0,.,.,0,9,1,0,0,.,.,0,3
3,360055,0,1992,0,0,.,.,0,9,1,0,0,.,.,0,3
3,360056,0,1990,0,0,.,.,0,9,1,0,0,.,.,0,3
3,360057,0,.,.,.,.,.,1,9,1,.,.,.,.,1,3
3,360058,0,1988,0,0,.,.,0,9,1,0,0,.,.,0,3
3,360059,0,1989,0,0,.,.,0,9,1,0,0,.,.,0,3
3,360060,0,1992,0,0,.,.,0,9,1,0,0,.,.,0,3
3,360061,0,1991,0,0,.,.,0,9,1,0,0,.,.,0,3
3,360062,0,1990,0,0,.,.,0,9,1,.,0,.,.,0,3
3,360063,0,1991,0,0,.,.,0,9,1,.,.,.,.,0,3
3,360064,0,1991,0,0,.,.,0,9,1,0,0,.,.,0,3
3,360065,0,1990,0,0,.,.,0,9,1,0,0,.,.,0,3
3,360066,0,.,0,0,.,.,0,9,1,0,0,.,.,0,3
3,360067,0,1990,0,0,.,.,1,9,1,.,.,.,.,1,3
3,360068,0,1988,0,0,.,.,0,9,1,0,0,.,.,0,3
3,360069,0,1990,0,0,.,.,0,9,1,0,0,.,.,0,3
3,360070,0,1989,0,0,.,.,0,9,1,0,0,.,.,0,3
3,360071,0,1991,0,0,.,.,0,9,1,0,0,.,.,0,3
3,360073,0,1992,0,0,.,.,0,9,1,0,0,.,.,0,3
3,360074,0,1992,0,0,.,.,0,9,1,.,.,.,.,0,3
3,360075,0,1992,0,0,.,.,0,9,1,0,0,.,.,0,3
3,360076,0,1991,0,0,.,.,0,9,1,0,0,.,.,0,3
3,360077,0,1990,0,0,.,.,0,9,1,0,0,.,.,0,3
3,360078,0,1990,0,0,.,.,0,9,1,0,.,.,.,0,3
3,360079,0,1989,0,0,.,.,0,9,1,0,0,.,.,0,3
3,360080,0,1991,0,0,.,.,0,9,1,.,.,.,.,0,3
3,360081,0,1992,0,0,.,.,0,9,1,0,0,.,.,0,3
3,360082,0,1991,0,0,.,.,0,9,1,0,0,.,.,0,3
3,360083,0,1991,0,0,.,.,0,9,1,0,0,.,.,0,3
3,360084,0,1992,0,0,.,.,0,9,1,.,.,.,.,0,3
3,360085,0,1992,0,0,.,.,0,9,1,1,.,.,.,.,3
3,360086,0,1989,0,0,.,.,0,9,1,0,0,.,.,0,3
3,360087,0,1991,0,0,.,.,0,9,1,.,.,.,.,0,3
3,360088,0,1990,0,0,.,.,0,9,1,0,0,.,.,0,3
3,360089,0,1990,0,0,.,.,0,9,1,0,0,.,.,0,3
3,360090,0,1991,0,0,.,.,0,9,1,.,.,.,.,0,3
3,360091,0,.,0,0,.,.,1,9,1,.,.,.,.,1,3
3,360092,0,1992,0,0,.,.,0,9,1,.,.,.,.,0,3
3,360094,1,1990,0,0,0,0,0,9,1,.,.,.,.,0,3
3,360095,1,1991,0,0,0,0,0,9,1,0,0,0,0,0,3
3,360096,1,1990,0,0,0,0,0,9,1,.,.,.,.,0,3
3,360097,1,.,0,0,0,0,0,9,1,.,0,0,0,0,3
3,360098,1,.,.,0,0,0,0,9,1,.,.,.,.,0,3
3,360099,1,1991,0,0,0,0,0,9,1,0,0,0,0,0,3
3,360100,1,1990,0,0,0,0,0,9,1,.,.,.,.,1,3
3,360101,1,1990,0,0,0,0,0,9,1,.,.,.,.,0,3
3,360102,1,1990,0,0,0,0,0,9,1,0,0,0,0,0,3
3,360103,1,.,0,0,0,0,0,9,1,.,.,.,.,1,3
3,360104,1,1992,0,0,0,0,0,9,1,0,0,0,0,0,3
3,360105,1,1991,0,0,0,0,0,9,1,.,.,.,.,0,3
3,360106,1,1991,0,0,0,0,0,9,1,0,0,0,0,0,3
3,360107,1,1989,0,0,0,0,0,9,1,0,0,0,0,0,3
3,360108,1,1990,0,0,0,0,0,9,1,.,.,.,.,0,3
3,360109,1,1989,0,0,0,0,0,9,1,0,0,0,0,0,3
3,360110,1,1992,0,0,0,0,0,9,1,0,0,0,0,0,3
3,360111,1,1990,0,0,0,0,0,9,1,.,.,.,.,0,3
4,460001,1,.,0,0,1,1,1,9,1,.,.,1,1,0,3
4,460002,1,1990,0,0,0,0,0,9,1,0,0,0,0,0,3
4,460003,1,.,.,0,0,0,0,9,1,.,.,.,.,1,3
4,460004,1,1991,0,0,0,0,0,9,1,.,.,.,.,0,3
4,460005,1,.,0,0,0,0,0,9,1,.,.,.,.,1,3
4,460006,1,1991,0,0,0,0,0,9,1,0,0,0,0,0,3
4,460007,1,1991,0,0,0,0,0,9,1,0,0,0,0,0,3
4,460008,0,1990,0,0,.,.,0,9,1,0,0,.,.,0,3
4,460009,1,1989,0,0,0,0,0,9,1,0,0,0,0,0,3
4,460010,1,1989,0,0,0,0,0,9,1,0,0,0,0,0,3
4,460011,1,1989,0,0,0,0,0,9,1,0,0,0,0,0,3
4,460012,1,1991,0,0,0,0,0,9,1,0,0,0,0,0,3
4,460013,1,1990,.,.,.,.,1,9,1,.,.,.,.,1,3
4,460014,1,1992,0,0,0,0,0,9,1,0,0,0,0,0,3
4,460015,1,1990,0,0,0,0,0,9,1,.,.,.,.,0,3
4,460016,1,1991,0,0,0,0,0,9,1,.,.,.,.,0,3
4,460017,1,1992,0,0,0,0,0,9,1,.,.,.,.,0,3
4,460018,1,1991,0,0,0,0,0,9,1,0,0,0,0,0,3
4,460019,1,1992,.,.,.,.,1,9,1,.,.,.,.,1,3
4,460020,1,1992,0,0,0,0,0,9,1,0,0,0,0,0,3
4,460021,1,1988,0,1,1,1,1,9,1,.,1,1,1,1,3
4,460022,1,1991,0,0,0,0,0,9,1,.,.,.,.,0,3
4,460023,1,1990,0,0,0,0,0,9,1,0,0,0,0,0,3
4,460024,1,1991,0,0,0,0,0,9,1,0,0,0,0,0,3
4,460025,1,1991,0,0,0,0,0,9,1,.,.,.,.,1,3
4,460030,0,1992,.,.,.,.,1,9,1,.,.,.,.,1,3
4,460031,0,1991,0,0,.,.,0,9,1,0,0,.,.,0,3
4,460032,0,1990,0,0,.,.,0,9,1,.,.,.,.,0,3
4,460033,0,1991,0,0,.,.,0,9,1,.,.,.,.,0,3
4,460034,0,1991,0,0,.,.,0,9,1,0,0,.,.,0,3
4,460035,0,1991,0,0,.,.,0,9,1,0,0,.,.,0,3
4,460036,0,1991,0,0,.,.,0,9,1,0,0,.,.,0,3
4,460037,0,1991,0,0,.,.,0,9,1,0,0,.,.,0,3
4,460038,0,1991,0,0,.,.,0,9,1,0,0,.,.,0,3
4,460039,0,1991,0,0,.,.,0,9,1,0,0,.,.,0,3
4,460040,0,1990,0,0,.,.,0,9,1,.,.,.,.,0,3
4,460041,0,.,.,0,.,.,0,9,1,.,.,.,.,1,3
4,460042,0,1989,0,0,.,.,0,9,1,0,0,.,.,0,3
4,460043,0,1991,0,0,.,.,0,9,1,.,.,.,.,0,3
4,460044,0,1991,.,.,.,.,0,9,1,.,.,.,.,1,3
4,460045,0,1991,0,0,.,.,0,9,1,.,.,.,.,0,3
4,460046,0,1990,0,0,.,.,0,9,1,0,0,.,.,0,3
4,460047,0,1989,0,0,.,.,0,9,1,0,0,.,.,0,3
4,460048,0,1991,0,0,.,.,0,9,1,0,0,.,.,0,3
4,460049,0,1987,0,0,.,.,0,9,1,0,0,.,.,0,3
4,460050,0,1990,0,0,.,.,0,9,1,0,0,.,.,0,3
4,460051,0,1991,0,0,.,.,0,9,1,.,.,.,.,0,3
4,460053,0,1991,0,0,.,.,0,9,1,.,.,.,.,0,3
4,460054,0,1991,.,.,.,.,1,9,1,.,.,.,.,1,3
4,460055,0,1991,1,.,.,.,.,9,1,1,.,.,.,.,3
5,560001,1,1992,0,0,0,0,0,9,1,0,0,0,0,0,3
5,560002,1,1992,0,1,1,1,1,9,1,0,1,1,1,1,3
5,560003,1,1990,0,0,0,0,0,9,1,0,1,1,1,1,3
5,560004,1,1992,0,0,0,0,0,9,1,0,0,0,0,0,3
5,560005,1,1991,0,0,0,1,1,9,1,0,0,1,1,1,3
5,560006,1,1991,0,0,0,0,0,9,1,0,0,0,0,0,3
5,560007,1,1991,0,0,0,0,1,9,1,0,1,1,1,1,3
5,560008,1,1990,.,.,.,.,1,9,1,.,.,.,.,1,3
5,560009,1,1990,0,0,0,0,0,9,1,0,0,0,0,0,3
5,560010,1,1991,.,.,.,.,1,9,1,.,.,.,.,1,3
5,560011,1,1992,0,0,0,0,0,9,1,0,0,0,0,0,3
5,560012,1,1991,0,0,0,0,0,9,1,0,1,1,1,1,3
5,560013,1,1991,0,0,0,0,0,9,1,0,0,0,0,0,3
5,560014,1,1991,0,0,1,1,1,9,1,0,1,1,1,1,3
5,560015,1,1991,0,0,0,0,0,9,1,0,0,0,0,0,3
5,560016,1,1991,0,0,0,0,0,9,1,0,0,0,0,0,3
5,560017,1,1991,0,0,0,0,0,9,1,0,0,1,1,1,3
5,560018,1,1986,0,0,0,1,1,9,1,0,0,1,1,1,3
5,560019,1,1989,0,0,0,0,0,9,1,0,1,1,1,1,3
5,560020,1,1992,0,0,0,0,0,9,1,0,0,0,0,0,3
5,560021,1,1990,0,0,0,0,0,9,1,0,0,0,0,0,3
5,560022,1,1992,0,0,0,0,0,9,1,0,0,0,0,0,3
5,560024,1,1989,.,.,.,.,1,9,1,0,0,1,1,1,3
5,560026,1,1990,0,0,0,0,0,9,1,0,0,1,1,1,3
5,560027,1,1991,0,0,0,0,0,9,1,0,0,0,0,0,3
5,560028,1,1992,0,0,0,0,0,9,1,0,0,0,0,0,3
5,560029,1,1992,0,0,0,0,0,9,1,0,0,0,0,0,3
5,560031,1,1990,0,0,0,0,0,9,1,0,0,0,0,0,3
5,560032,1,1991,0,0,0,0,0,9,1,0,0,1,1,1,3
5,560034,0,1988,0,0,.,.,0,9,1,0,0,.,.,0,3
5,560035,0,1990,0,0,.,.,1,9,1,0,0,.,.,1,3
5,560036,0,1991,0,0,.,.,0,9,1,0,0,.,.,0,3
5,560037,0,1992,0,0,.,.,0,9,1,0,0,.,.,0,3
5,560038,0,1989,0,0,.,.,1,9,1,0,1,.,.,1,3
5,560039,0,.,.,.,.,.,0,9,1,0,0,.,.,0,3
5,560040,0,1991,0,0,.,.,0,9,1,0,0,.,.,0,3
5,560041,0,1988,0,0,.,.,0,9,1,0,0,.,.,0,3
5,560042,0,1991,0,0,.,.,0,9,1,0,0,.,.,0,3
5,560043,0,1992,0,0,.,.,0,9,1,0,0,.,.,0,3
5,560044,0,1991,0,0,.,.,1,9,1,0,0,.,.,1,3
5,560045,0,1991,0,0,.,.,0,9,1,0,0,.,.,0,3
5,560046,0,1992,0,0,.,.,0,9,1,0,0,.,.,0,3
5,560047,0,1990,0,0,.,.,0,9,1,0,0,.,.,0,3
5,560048,0,1988,0,0,.,.,1,9,1,0,0,.,.,1,3
5,560049,0,1992,0,0,.,.,0,9,1,0,0,.,.,0,3
5,560050,0,1989,0,0,.,.,0,9,1,0,0,.,.,1,3
5,560051,0,1988,0,0,.,.,0,9,1,0,0,.,.,0,3
5,560052,0,1992,.,.,.,.,1,9,1,.,.,.,.,1,3
5,560053,0,1991,0,0,.,.,1,9,1,0,1,.,.,1,3
5,560054,0,1990,0,0,.,.,0,9,1,.,.,.,.,0,3
5,560055,0,1992,0,0,.,.,0,9,1,0,0,.,.,0,3
5,560056,0,1992,0,0,.,.,0,9,1,0,0,.,.,0,3
5,560057,0,1991,0,0,.,.,0,9,1,0,0,.,.,0,3
5,560058,0,1989,0,0,.,.,0,9,1,0,0,.,.,0,3
5,560059,0,1987,0,0,.,.,0,9,1,0,0,.,.,0,3
5,560060,0,1992,0,0,.,.,0,9,1,0,0,.,.,0,3
5,560061,0,1992,0,0,.,.,0,9,1,0,0,.,.,0,3
5,560062,0,1990,0,0,.,.,0,9,1,0,0,.,.,0,3
5,560063,0,1992,0,0,.,.,0,9,1,0,0,.,.,0,3
5,560064,0,1987,0,0,.,.,1,9,1,0,0,.,.,1,3
5,560065,0,1989,0,0,.,.,0,9,1,0,0,.,.,0,3
5,560066,0,1989,0,0,.,.,0,9,1,0,0,.,.,0,3
5,560067,0,1991,0,0,.,.,0,9,1,0,0,.,.,0,3
5,560068,0,1992,0,0,.,.,0,9,1,0,0,.,.,0,3
5,560069,0,1988,0,0,.,.,0,9,1,0,0,.,.,0,3
5,560070,0,1991,0,0,.,.,0,9,1,0,0,.,.,0,3
5,560071,0,1990,0,1,.,.,1,9,1,0,1,.,.,1,3
5,560073,0,1988,0,1,.,.,1,9,1,0,1,.,.,1,3
5,560074,0,1988,0,0,.,.,1,9,1,0,1,.,.,1,3
5,560075,0,1992,0,0,.,.,0,9,1,0,0,.,.,0,3
5,560076,0,1990,0,0,.,.,1,9,1,0,0,.,.,1,3
5,560077,0,1990,0,0,.,.,0,9,1,0,0,.,.,0,3
5,560079,0,1988,0,0,.,.,0,9,1,0,0,.,.,0,3
5,560080,1,1992,0,0,0,0,0,9,1,0,0,0,0,0,3
5,560081,1,1992,0,0,0,0,0,9,1,0,0,0,0,0,3
5,560084,1,1992,0,0,0,0,0,9,1,0,0,0,0,0,3
5,560088,0,1990,0,0,.,.,0,9,1,0,0,.,.,0,3
5,560091,0,1992,0,0,.,.,0,9,1,0,0,.,.,0,3
6,660001,0,1991,0,0,.,.,0,9,0,0,0,.,.,0,3
6,660002,0,1991,0,0,.,.,0,9,0,0,0,.,.,0,3
6,660003,0,1989,0,0,.,.,0,9,0,0,0,.,.,0,3
6,660004,0,1991,0,0,.,.,0,9,0,0,0,.,.,0,3
6,660005,0,.,0,0,.,.,0,9,0,.,.,.,.,1,3
6,660006,0,1991,0,0,.,.,0,9,0,0,0,.,.,0,3
6,660007,0,1991,0,0,.,.,0,9,0,0,0,.,.,0,3
